T,Delta,pO2
340.668,-1.07E-04,0.208
340.73999,-1.07E-04,0.208
340.80399,-1.11E-04,0.208
340.866,-1.22E-04,0.208
340.94101,-1.39E-04,0.208
341.008,-1.27E-04,0.208
341.07001,-1.03E-04,0.208
341.13901,-9.85E-05,0.208
341.21399,-1.08E-04,0.208
341.276,-9.97E-05,0.208
341.34201,-8.68E-05,0.208
341.41101,-1.07E-04,0.208
341.48199,-1.07E-04,0.208
341.54401,-1.04E-04,0.208
341.621,-9.27E-05,0.208
341.681,-1.16E-04,0.208
341.74899,-9.85E-05,0.208
341.81201,-9.73E-05,0.208
341.883,-1.08E-04,0.208
341.95001,-1.11E-04,0.208
342.01901,-1.14E-04,0.208
342.08499,-1.23E-04,0.208
342.14899,-1.14E-04,0.208
342.22501,-1.20E-04,0.208
342.28299,-1.14E-04,0.208
342.35199,-9.27E-05,0.208
342.42401,-1.17E-04,0.208
342.48599,-1.10E-04,0.208
342.54999,-1.11E-04,0.208
342.62601,-1.21E-04,0.208
342.68799,-1.27E-04,0.208
342.75201,-1.02E-04,0.208
342.827,-8.22E-05,0.208
342.89301,-8.45E-05,0.208
342.965,-8.68E-05,0.208
343.01401,-1.11E-04,0.208
343.08801,-1.27E-04,0.208
343.16,-1.16E-04,0.208
343.224,-1.10E-04,0.208
343.29901,-1.10E-04,0.208
343.36801,-1.14E-04,0.208
343.43301,-1.18E-04,0.208
343.49701,-1.11E-04,0.208
343.569,-1.22E-04,0.208
343.63501,-9.85E-05,0.208
343.70001,-9.03E-05,0.208
343.76901,-1.10E-04,0.208
343.82999,-8.68E-05,0.208
343.897,-9.73E-05,0.208
343.96899,-1.20E-04,0.208
344.02802,-1.14E-04,0.208
344.10001,-1.09E-04,0.208
344.16299,-9.97E-05,0.208
344.23199,-1.17E-04,0.208
344.30399,-1.09E-04,0.208
344.36499,-1.34E-04,0.208
344.43301,-9.85E-05,0.208
344.496,-1.27E-04,0.208
344.56299,-1.11E-04,0.208
344.63101,-9.62E-05,0.208
344.70001,-1.32E-04,0.208
344.76501,-1.16E-04,0.208
344.83401,-1.07E-04,0.208
344.901,-8.92E-05,0.208
344.95999,-1.08E-04,0.208
345.03601,-8.10E-05,0.208
345.103,-6.70E-05,0.208
345.16901,-1.16E-04,0.208
345.23099,-1.11E-04,0.208
345.30099,-9.97E-05,0.208
345.37299,-1.44E-04,0.208
345.43701,-1.46E-04,0.208
345.50699,-1.20E-04,0.208
345.569,-1.08E-04,0.208
345.646,-1.18E-04,0.208
345.70901,-1.53E-04,0.208
345.776,-1.18E-04,0.208
345.84601,-1.03E-04,0.208
345.90799,-1.28E-04,0.208
345.97501,-1.35E-04,0.208
346.04099,-1.13E-04,0.208
346.11401,-1.01E-04,0.208
346.17999,-1.02E-04,0.208
346.245,-9.85E-05,0.208
346.31799,-9.62E-05,0.208
346.37799,-1.07E-04,0.208
346.448,-1.17E-04,0.208
346.521,-1.14E-04,0.208
346.582,-1.14E-04,0.208
346.64801,-9.27E-05,0.208
346.71301,-1.02E-04,0.208
346.78101,-1.38E-04,0.208
346.849,-1.48E-04,0.208
346.91101,-1.48E-04,0.208
346.98401,-1.74E-04,0.208
347.047,-1.30E-04,0.208
347.11499,-1.10E-04,0.208
347.17899,-1.06E-04,0.208
347.254,-1.09E-04,0.208
347.31299,-9.73E-05,0.208
347.384,-9.97E-05,0.208
347.44501,-1.18E-04,0.208
347.51801,-1.27E-04,0.208
347.57901,-1.11E-04,0.208
347.646,-1.15E-04,0.208
347.71799,-1.24E-04,0.208
347.78101,-1.23E-04,0.208
347.849,-1.31E-04,0.208
347.909,-1.10E-04,0.208
347.983,-1.23E-04,0.208
348.04401,-1.27E-04,0.208
348.103,-1.23E-04,0.208
348.17801,-1.32E-04,0.208
348.245,-1.44E-04,0.208
348.323,-1.20E-04,0.208
348.38,-1.14E-04,0.208
348.44699,-1.07E-04,0.208
348.52301,-1.13E-04,0.208
348.577,-1.21E-04,0.208
348.66501,-1.22E-04,0.208
348.72601,-1.20E-04,0.208
348.78601,-1.09E-04,0.208
348.85199,-1.14E-04,0.208
348.927,-1.29E-04,0.208
348.98401,-1.28E-04,0.208
349.05801,-1.23E-04,0.208
349.117,-1.08E-04,0.208
349.18799,-1.10E-04,0.208
349.26099,-1.20E-04,0.208
349.32501,-1.18E-04,0.208
349.38699,-1.21E-04,0.208
349.457,-1.11E-04,0.208
349.521,-1.34E-04,0.208
349.586,-1.30E-04,0.208
349.64999,-1.15E-04,0.208
349.716,-1.15E-04,0.208
349.785,-1.27E-04,0.208
349.85001,-1.16E-04,0.208
349.914,-1.48E-04,0.208
349.98401,-1.28E-04,0.208
350.06,-9.15E-05,0.208
350.11801,-1.01E-04,0.208
350.19199,-1.32E-04,0.208
350.259,-1.32E-04,0.208
350.32599,-1.24E-04,0.208
350.38901,-1.25E-04,0.208
350.46201,-1.37E-04,0.208
350.52499,-1.41E-04,0.208
350.591,-1.18E-04,0.208
350.65701,-1.32E-04,0.208
350.72501,-1.29E-04,0.208
350.797,-1.32E-04,0.208
350.85699,-1.28E-04,0.208
350.931,-1.27E-04,0.208
350.995,-1.35E-04,0.208
351.06799,-1.46E-04,0.208
351.13599,-1.39E-04,0.208
351.20099,-1.22E-04,0.208
351.26901,-1.39E-04,0.208
351.33899,-1.28E-04,0.208
351.39899,-1.18E-04,0.208
351.46201,-1.23E-04,0.208
351.54199,-1.23E-04,0.208
351.60101,-1.07E-04,0.208
351.664,-1.31E-04,0.208
351.73001,-1.35E-04,0.208
351.802,-1.30E-04,0.208
351.867,-1.37E-04,0.208
351.939,-1.41E-04,0.208
352.00201,-1.34E-04,0.208
352.069,-1.10E-04,0.208
